Customer_ID,Age,Gender,Category,Product,Purchase_Amount,Quantity,Discount_Applied,Subscription_Status,Payment_Method,Purchase_Date,Location,Review_Rating
C00087,24,Male,Books,Technology,154.66,1,No,Inactive,Debit Card,2025-05-15,Hyderabad,4.8
C01503,46,Female,Electronics,Smartwatch,53480.33,3,Yes,Active,Net Banking,2025-01-28,Mumbai,4.3
C01253,47,Male,Beauty,Skin Serum,3038.76,3,No,Active,UPI,2025-04-27,Bengaluru,5.0
C00201,48,Male,Electronics,Smartwatch,21968.57,1,Yes,Active,Credit Card,2024-02-18,Bengaluru,3.6
C01581,63,Female,Beauty,Perfume,3462.99,1,No,Active,Net Banking,2024-07-09,Jaipur,3.8
C00930,55,Male,Electronics,Speaker,31870.38,1,No,Inactive,UPI,2024-07-21,Pune,3.3
C00264,20,Male,Beauty,Lipstick,1398.38,1,No,Inactive,UPI,2024-03-19,Chennai,4.8
C01752,48,Female,Clothing,Jacket,1426.02,1,No,Active,Credit Card,2025-12-16,Mumbai,3.5
C01338,20,Female,Beauty,Skin Serum,2130.94,1,Yes,Inactive,UPI,2025-07-20,Delhi,4.5
C00750,31,Male,Clothing,Sneakers,3249.65,1,Yes,Inactive,Cash,2024-11-11,Chandigarh,4.2
C00620,21,Female,Beauty,Skin Serum,2233.64,2,Yes,Inactive,Debit Card,2024-11-29,Kolkata,3.7
C01269,31,Male,Clothing,T-Shirt,1718.91,2,No,Active,Cash,2024-03-27,Hyderabad,4.3
C01819,59,Other,Electronics,Headphones,86169.99,1,No,Inactive,UPI,2025-06-16,Hyderabad,3.1
C00279,28,Female,Books,Comics,437.68,2,Yes,Inactive,Debit Card,2025-06-01,Kolkata,3.4
C01601,33,Male,Electronics,Headphones,18484.51,3,Yes,Inactive,UPI,2025-10-07,Mumbai,4.8
C01261,27,Female,Home & Kitchen,Coffee Maker,9855.0,2,No,Active,Net Banking,2024-02-29,Hyderabad,4.2
C01127,62,Male,Electronics,Speaker,61390.11,2,Yes,Inactive,Debit Card,2025-09-19,Ahmedabad,3.1
C00825,29,Female,Electronics,Speaker,20640.05,3,No,Inactive,Debit Card,2024-08-14,Pune,2.9
C01854,18,Male,Home & Kitchen,Cookware,3939.67,3,No,Active,UPI,2025-09-23,Kolkata,4.1
C01919,46,Male,Sports,Running Shoes,1116.75,1,No,Active,Debit Card,2024-10-31,Ahmedabad,3.3
C00410,44,Male,Clothing,Sneakers,645.63,4,No,Active,Credit Card,2025-10-05,Jaipur,4.3
C01369,53,Male,Clothing,Jeans,930.56,2,Yes,Inactive,Net Banking,2025-11-22,Chandigarh,4.4
C01054,30,Male,Home & Kitchen,Bedsheet,14134.7,4,No,Active,Debit Card,2024-01-11,Delhi,4.1
C00413,26,Male,Clothing,Jacket,3632.72,1,No,Active,Credit Card,2025-07-12,Bengaluru,3.1
C01573,44,Female,Beauty,Lipstick,1912.49,3,No,Inactive,Debit Card,2025-06-22,Mumbai,3.7
C00070,51,Male,Clothing,T-Shirt,367.85,1,No,Inactive,UPI,2025-04-26,Bengaluru,4.9
C00661,29,Male,Electronics,Laptop,20079.35,1,Yes,Active,Debit Card,2025-03-22,Jaipur,3.7
C01244,47,Male,Electronics,Laptop,3603.72,2,No,Inactive,Credit Card,2024-09-12,Bengaluru,4.1
C01504,55,Male,Electronics,Smartphone,56031.04,2,No,Inactive,Debit Card,2024-07-06,Jaipur,3.3
C00872,58,Female,Sports,Cricket Bat,11254.24,1,Yes,Inactive,UPI,2024-04-27,Mumbai,4.3
C01535,51,Female,Books,Business,1579.66,3,Yes,Inactive,UPI,2025-05-14,Bengaluru,5.0
